PING 10.1.1.10 (10.1.1.10) 56(84) bytes of data.
64 bytes from 10.1.1.10: icmp_seq=1 ttl=64 time=23.6 ms
64 bytes from 10.1.1.10: icmp_seq=2 ttl=64 time=3.38 ms
64 bytes from 10.1.1.10: icmp_seq=3 ttl=64 time=3.98 ms
64 bytes from 10.1.1.10: icmp_seq=4 ttl=64 time=5.12 ms
64 bytes from 10.1.1.10: icmp_seq=5 ttl=64 time=6.05 ms
64 bytes from 10.1.1.10: icmp_seq=6 ttl=64 time=1.92 ms
64 bytes from 10.1.1.10: icmp_seq=7 ttl=64 time=25.9 ms
64 bytes from 10.1.1.10: icmp_seq=8 ttl=64 time=5.40 ms
64 bytes from 10.1.1.10: icmp_seq=9 ttl=64 time=11.2 ms
64 bytes from 10.1.1.10: icmp_seq=10 ttl=64 time=1.66 ms
64 bytes from 10.1.1.10: icmp_seq=11 ttl=64 time=2.43 ms
64 bytes from 10.1.1.10: icmp_seq=12 ttl=64 time=33.9 ms
64 bytes from 10.1.1.10: icmp_seq=13 ttl=64 time=99.8 ms
64 bytes from 10.1.1.10: icmp_seq=14 ttl=64 time=6.65 ms
64 bytes from 10.1.1.10: icmp_seq=15 ttl=64 time=9.02 ms
64 bytes from 10.1.1.10: icmp_seq=16 ttl=64 time=3.48 ms
64 bytes from 10.1.1.10: icmp_seq=17 ttl=64 time=28.7 ms
64 bytes from 10.1.1.10: icmp_seq=18 ttl=64 time=3.32 ms
64 bytes from 10.1.1.10: icmp_seq=19 ttl=64 time=6.81 ms
64 bytes from 10.1.1.10: icmp_seq=20 ttl=64 time=4.50 ms
64 bytes from 10.1.1.10: icmp_seq=21 ttl=64 time=39.6 ms
64 bytes from 10.1.1.10: icmp_seq=22 ttl=64 time=26.9 ms
64 bytes from 10.1.1.10: icmp_seq=23 ttl=64 time=20.8 ms
64 bytes from 10.1.1.10: icmp_seq=24 ttl=64 time=3.68 ms
64 bytes from 10.1.1.10: icmp_seq=25 ttl=64 time=8.30 ms
64 bytes from 10.1.1.10: icmp_seq=26 ttl=64 time=6.89 ms
64 bytes from 10.1.1.10: icmp_seq=27 ttl=64 time=11.8 ms
64 bytes from 10.1.1.10: icmp_seq=28 ttl=64 time=22.6 ms
64 bytes from 10.1.1.10: icmp_seq=29 ttl=64 time=12.8 ms
64 bytes from 10.1.1.10: icmp_seq=30 ttl=64 time=14.7 ms
64 bytes from 10.1.1.10: icmp_seq=31 ttl=64 time=11.3 ms
64 bytes from 10.1.1.10: icmp_seq=32 ttl=64 time=14.0 ms
64 bytes from 10.1.1.10: icmp_seq=33 ttl=64 time=69.0 ms
64 bytes from 10.1.1.10: icmp_seq=34 ttl=64 time=24.2 ms
64 bytes from 10.1.1.10: icmp_seq=35 ttl=64 time=24.0 ms
64 bytes from 10.1.1.10: icmp_seq=36 ttl=64 time=6.33 ms
64 bytes from 10.1.1.10: icmp_seq=37 ttl=64 time=18.7 ms
64 bytes from 10.1.1.10: icmp_seq=38 ttl=64 time=6.33 ms
64 bytes from 10.1.1.10: icmp_seq=39 ttl=64 time=6.08 ms
64 bytes from 10.1.1.10: icmp_seq=40 ttl=64 time=2.58 ms
64 bytes from 10.1.1.10: icmp_seq=41 ttl=64 time=12.7 ms
