PING 10.1.1.10 (10.1.1.10) 56(84) bytes of data.
64 bytes from 10.1.1.10: icmp_seq=1 ttl=64 time=15.1 ms
64 bytes from 10.1.1.10: icmp_seq=2 ttl=64 time=5.39 ms
64 bytes from 10.1.1.10: icmp_seq=3 ttl=64 time=31.7 ms
64 bytes from 10.1.1.10: icmp_seq=4 ttl=64 time=19.5 ms
64 bytes from 10.1.1.10: icmp_seq=5 ttl=64 time=2.64 ms
64 bytes from 10.1.1.10: icmp_seq=6 ttl=64 time=2.64 ms
64 bytes from 10.1.1.10: icmp_seq=7 ttl=64 time=13.5 ms
64 bytes from 10.1.1.10: icmp_seq=8 ttl=64 time=8.74 ms
64 bytes from 10.1.1.10: icmp_seq=9 ttl=64 time=15.0 ms
64 bytes from 10.1.1.10: icmp_seq=10 ttl=64 time=21.1 ms
64 bytes from 10.1.1.10: icmp_seq=11 ttl=64 time=6.98 ms
64 bytes from 10.1.1.10: icmp_seq=12 ttl=64 time=19.8 ms
64 bytes from 10.1.1.10: icmp_seq=13 ttl=64 time=20.0 ms
64 bytes from 10.1.1.10: icmp_seq=14 ttl=64 time=10.3 ms
64 bytes from 10.1.1.10: icmp_seq=15 ttl=64 time=25.2 ms
64 bytes from 10.1.1.10: icmp_seq=16 ttl=64 time=996 ms
64 bytes from 10.1.1.10: icmp_seq=17 ttl=64 time=970 ms
64 bytes from 10.1.1.10: icmp_seq=18 ttl=64 time=9.96 ms
64 bytes from 10.1.1.10: icmp_seq=19 ttl=64 time=3.94 ms
64 bytes from 10.1.1.10: icmp_seq=20 ttl=64 time=5.33 ms
64 bytes from 10.1.1.10: icmp_seq=21 ttl=64 time=7.04 ms
64 bytes from 10.1.1.10: icmp_seq=22 ttl=64 time=17.6 ms
64 bytes from 10.1.1.10: icmp_seq=23 ttl=64 time=19.3 ms
64 bytes from 10.1.1.10: icmp_seq=24 ttl=64 time=8.84 ms
64 bytes from 10.1.1.10: icmp_seq=25 ttl=64 time=22.3 ms
64 bytes from 10.1.1.10: icmp_seq=26 ttl=64 time=2.14 ms
64 bytes from 10.1.1.10: icmp_seq=27 ttl=64 time=12.4 ms
64 bytes from 10.1.1.10: icmp_seq=28 ttl=64 time=1.82 ms
64 bytes from 10.1.1.10: icmp_seq=29 ttl=64 time=24.4 ms
64 bytes from 10.1.1.10: icmp_seq=30 ttl=64 time=14.6 ms
64 bytes from 10.1.1.10: icmp_seq=31 ttl=64 time=135 ms
64 bytes from 10.1.1.10: icmp_seq=32 ttl=64 time=14.2 ms
64 bytes from 10.1.1.10: icmp_seq=33 ttl=64 time=2.02 ms
64 bytes from 10.1.1.10: icmp_seq=34 ttl=64 time=5.20 ms
64 bytes from 10.1.1.10: icmp_seq=35 ttl=64 time=2.60 ms
64 bytes from 10.1.1.10: icmp_seq=36 ttl=64 time=35.3 ms
64 bytes from 10.1.1.10: icmp_seq=37 ttl=64 time=18.6 ms
64 bytes from 10.1.1.10: icmp_seq=38 ttl=64 time=1.87 ms
64 bytes from 10.1.1.10: icmp_seq=39 ttl=64 time=2.32 ms
64 bytes from 10.1.1.10: icmp_seq=40 ttl=64 time=5.92 ms
64 bytes from 10.1.1.10: icmp_seq=41 ttl=64 time=6.77 ms
64 bytes from 10.1.1.10: icmp_seq=42 ttl=64 time=5.79 ms
64 bytes from 10.1.1.10: icmp_seq=43 ttl=64 time=1.99 ms
64 bytes from 10.1.1.10: icmp_seq=44 ttl=64 time=9.62 ms
64 bytes from 10.1.1.10: icmp_seq=45 ttl=64 time=2.10 ms
64 bytes from 10.1.1.10: icmp_seq=46 ttl=64 time=3.67 ms
64 bytes from 10.1.1.10: icmp_seq=47 ttl=64 time=2.75 ms
64 bytes from 10.1.1.10: icmp_seq=48 ttl=64 time=2.44 ms
64 bytes from 10.1.1.10: icmp_seq=49 ttl=64 time=2.27 ms
64 bytes from 10.1.1.10: icmp_seq=50 ttl=64 time=2.56 ms
64 bytes from 10.1.1.10: icmp_seq=51 ttl=64 time=9.43 ms
64 bytes from 10.1.1.10: icmp_seq=52 ttl=64 time=2.78 ms
64 bytes from 10.1.1.10: icmp_seq=53 ttl=64 time=2.35 ms
64 bytes from 10.1.1.10: icmp_seq=54 ttl=64 time=4.72 ms
64 bytes from 10.1.1.10: icmp_seq=55 ttl=64 time=2.08 ms
64 bytes from 10.1.1.10: icmp_seq=56 ttl=64 time=978 ms
64 bytes from 10.1.1.10: icmp_seq=57 ttl=64 time=17.8 ms
64 bytes from 10.1.1.10: icmp_seq=58 ttl=64 time=3.03 ms
64 bytes from 10.1.1.10: icmp_seq=59 ttl=64 time=102 ms
64 bytes from 10.1.1.10: icmp_seq=60 ttl=64 time=2.51 ms
64 bytes from 10.1.1.10: icmp_seq=61 ttl=64 time=5.96 ms
64 bytes from 10.1.1.10: icmp_seq=62 ttl=64 time=935 ms
64 bytes from 10.1.1.10: icmp_seq=63 ttl=64 time=1.55 ms
64 bytes from 10.1.1.10: icmp_seq=64 ttl=64 time=3.64 ms
64 bytes from 10.1.1.10: icmp_seq=65 ttl=64 time=2.27 ms
64 bytes from 10.1.1.10: icmp_seq=66 ttl=64 time=1.63 ms
64 bytes from 10.1.1.10: icmp_seq=67 ttl=64 time=987 ms
64 bytes from 10.1.1.10: icmp_seq=68 ttl=64 time=2.10 ms
64 bytes from 10.1.1.10: icmp_seq=69 ttl=64 time=7.49 ms
64 bytes from 10.1.1.10: icmp_seq=70 ttl=64 time=2.37 ms
64 bytes from 10.1.1.10: icmp_seq=71 ttl=64 time=1.69 ms
64 bytes from 10.1.1.10: icmp_seq=72 ttl=64 time=29.7 ms
64 bytes from 10.1.1.10: icmp_seq=73 ttl=64 time=4.76 ms
64 bytes from 10.1.1.10: icmp_seq=74 ttl=64 time=1.97 ms
64 bytes from 10.1.1.10: icmp_seq=75 ttl=64 time=3.25 ms
64 bytes from 10.1.1.10: icmp_seq=76 ttl=64 time=6.89 ms
64 bytes from 10.1.1.10: icmp_seq=77 ttl=64 time=3.01 ms
64 bytes from 10.1.1.10: icmp_seq=78 ttl=64 time=91.7 ms
64 bytes from 10.1.1.10: icmp_seq=79 ttl=64 time=970 ms
64 bytes from 10.1.1.10: icmp_seq=80 ttl=64 time=15.2 ms
64 bytes from 10.1.1.10: icmp_seq=82 ttl=64 time=2.03 ms
64 bytes from 10.1.1.10: icmp_seq=83 ttl=64 time=15.5 ms
64 bytes from 10.1.1.10: icmp_seq=84 ttl=64 time=16.5 ms
64 bytes from 10.1.1.10: icmp_seq=85 ttl=64 time=17.3 ms
64 bytes from 10.1.1.10: icmp_seq=86 ttl=64 time=8.96 ms
64 bytes from 10.1.1.10: icmp_seq=87 ttl=64 time=9.27 ms
64 bytes from 10.1.1.10: icmp_seq=88 ttl=64 time=14.2 ms
64 bytes from 10.1.1.10: icmp_seq=89 ttl=64 time=1033 ms
64 bytes from 10.1.1.10: icmp_seq=90 ttl=64 time=7.40 ms
64 bytes from 10.1.1.10: icmp_seq=91 ttl=64 time=4.29 ms
64 bytes from 10.1.1.10: icmp_seq=92 ttl=64 time=6.92 ms
64 bytes from 10.1.1.10: icmp_seq=93 ttl=64 time=6.69 ms
64 bytes from 10.1.1.10: icmp_seq=94 ttl=64 time=29.3 ms
64 bytes from 10.1.1.10: icmp_seq=95 ttl=64 time=29.8 ms
64 bytes from 10.1.1.10: icmp_seq=96 ttl=64 time=970 ms
64 bytes from 10.1.1.10: icmp_seq=97 ttl=64 time=18.1 ms
64 bytes from 10.1.1.10: icmp_seq=98 ttl=64 time=52.4 ms
64 bytes from 10.1.1.10: icmp_seq=99 ttl=64 time=9.18 ms
64 bytes from 10.1.1.10: icmp_seq=100 ttl=64 time=13.9 ms

--- 10.1.1.10 ping statistics ---
100 packets transmitted, 99 received, 1% packet loss, time 121992ms
rtt min/avg/max/mdev = 1.553/91.549/1033.040/264.230 ms
